name,beerme_link,city,state
Against the Grain Brewery & Smokehouse,http://beerme.com/brewery.php?12670,Louisville,Kentucky
"Aiken Brewing Company, Grill and Bar",http://beerme.com/brewery.php?29,Aiken,South Carolina
Airdale Brewing,http://beerme.com/brewery.php?11131,San Diego,California
Airways Brewing Company,http://beerme.com/brewery.php?11270,Kent,Washington
Ajax Aleworks,http://beerme.com/brewery.php?13398,Richmond,Virginia
Aksarben Brewing (BOP),http://beerme.com/brewery.php?2566,Omaha,Nebraska
Alameda Brewhouse,http://beerme.com/brewery.php?33,Portland,Oregon
Alamo Beer Company,http://beerme.com/brewery.php?12821,San Antonio,Texas
Alamogordo Brewing,http://beerme.com/brewery.php?34,Alamogordo,New Mexico
Alaskan Brewing,http://beerme.com/brewery.php?35,Juneau,Alaska
Albany Brewing,http://beerme.com/brewery.php?40,Albany,California
Alcatraz Brewing - Auburn Hills,http://beerme.com/brewery.php?5595,Auburn Hills,Michigan
Alcatraz Brewing - Littleton,http://beerme.com/brewery.php?42,Littleton,Colorado
Alcatraz Brewing - Tempe,http://beerme.com/brewery.php?4584,Tempe,Arizona
Alcatraz Brewing — Indianapolis,http://beerme.com/brewery.php?41,Indianapolis,Indiana
Alcatraz Brewing — Orange,http://beerme.com/brewery.php?5663,Orange,California
Aldergrove Brewery,http://beerme.com/brewery.php?11143,Tulalip,Washington
Ale & Ocean Brew Pub,http://beerme.com/brewery.php?7298,La Jolla,California
Ale Asylum,http://beerme.com/brewery.php?9523,Madison,Wisconsin
Ale House Brewing,http://beerme.com/brewery.php?13319,San Jose,California
Ale House Rock,http://beerme.com/brewery.php?45,Huntington Beach,California
Ale Industries,http://beerme.com/brewery.php?10747,Concord,California
AleSmith Brewing,http://beerme.com/brewery.php?46,San Diego,California
Alewife Grille and Brewery,http://beerme.com/brewery.php?47,Glastonbury,Connecticut
Alexandria's Brewery,http://beerme.com/brewery.php?12776,Findlay,Ohio
Ali`i Brewing,http://beerme.com/brewery.php?52,Honolulu,Hawaii
All American Brewing,http://beerme.com/brewery.php?55,Dublin,Ohio
All American Grill & Brewhouse,http://beerme.com/brewery.php?11513,Waverly,Minnesota
All Saints Brewing,http://beerme.com/brewery.php?12983,Greensburg,Pennsylvania
All-American Beer Company,http://beerme.com/brewery.php?13404,Saint Louis,Missouri
All-American Sports Café,http://beerme.com/brewery.php?6031,Ridgewood,New Jersey
Allagash Brewing,http://beerme.com/brewery.php?54,Portland,Maine
Alligator Brewing,http://beerme.com/brewery.php?12393,Gainesville,Florida
Almanac Beer Co.,http://beerme.com/brewery.php?12307,San Francisco,California
Aloha Beer Co.,http://beerme.com/brewery.php?3703,Honolulu,Hawaii
Alosta Brewing,http://beerme.com/brewery.php?13582,Glendora,California
Alphabet City Beer Co.,http://beerme.com/brewery.php?13299,New York,New York
Alpine Beer Company,http://beerme.com/brewery.php?642,Alpine,California
Alpine Brewing,http://beerme.com/brewery.php?6670,Oroville,Washington
Alpine Brewing / Naked Aspen Brewing,http://beerme.com/brewery.php?60,Littleton,Colorado
Alpine Dog Brewing Company,http://beerme.com/brewery.php?12979,Denver,Colorado
Alt Platz Brewing,http://beerme.com/brewery.php?10087,Portsmouth,Virginia
Altamont Beer Works,http://beerme.com/brewery.php?13281,Livermore,California
Altamont Brewing,http://beerme.com/brewery.php?12889,Asheville,North Carolina
Alter's Ark City Brewing,http://beerme.com/brewery.php?5615,Arkansas City,Kansas
Altitude Chophouse and Brewery,http://beerme.com/brewery.php?6392,Laramie,Wyoming
Alvarado Brewing,http://beerme.com/brewery.php?66,Albuquerque,New Mexico
Ambacht Brewing,http://beerme.com/brewery.php?11212,Hillsboro,Oregon
Amber Waves Brewery and Pub,http://beerme.com/brewery.php?70,Vacaville,California
Amber Waves Brewing,http://beerme.com/brewery.php?11972,Parksville,Kentucky
Ambleside Brewing,http://beerme.com/brewery.php?71,Minneapolis,Minnesota
America's Brewing,http://beerme.com/brewery.php?76,Aurora,Illinois
American Badass Beer Company,http://beerme.com/brewery.php?12609,Webberville,Michigan
American Beer Works,http://beerme.com/brewery.php?4668,Elmhurst,Illinois
American Brewers Guild,http://beerme.com/brewery.php?73,Woodland,California
American Brewing,http://beerme.com/brewery.php?11918,Edmonds,Washington
American Brewing Company,http://beerme.com/brewery.php?5667,Lake Park,Florida
American Craft Brewers Co-op,http://beerme.com/brewery.php?13320,Carlsbad,California
American Craft Brewing International Ltd.,http://beerme.com/brewery.php?74,Metairie,Louisiana
American Craft Standard Brewing and Distilling Co.,http://beerme.com/brewery.php?10928,Saint Louis,Missouri
American Dream Brewing,http://beerme.com/brewery.php?11132,Thousand Oaks,California
American Flatbread — Burlington Hearth,http://beerme.com/brewery.php?9394,Burlington,Vermont
American Honor Beer Company,http://beerme.com/brewery.php?11497,Wilkes-Barre,Pennsylvania
American River Brewing,http://beerme.com/brewery.php?75,Auburn,California
American River Brewing,http://beerme.com/brewery.php?11998,Rancho Cordova,California
Amerisports Brew Pub,http://beerme.com/brewery.php?2349,Kansas City,Missouri
Amherst Brewing,http://beerme.com/brewery.php?77,Amherst,Massachusetts
"Amicas Pizza, Microbrews and More",http://beerme.com/brewery.php?4573,Salida,Colorado
Amnesia Brewing,http://beerme.com/brewery.php?6587,Portland,Oregon
Amos Howards Brew Pub,http://beerme.com/brewery.php?3012,Hickory,North Carolina
Amplified Ale Works,http://beerme.com/brewery.php?13034,San Diego,California
Anacapa Brewing,http://beerme.com/brewery.php?6590,Ventura,California
Anacortes Brewhouse,http://beerme.com/brewery.php?86,Anacortes,Washington
Anaheim Brewery,http://beerme.com/brewery.php?12311,Anaheim,California
Analog Brewing,http://beerme.com/brewery.php?13049,Denver,Colorado
Anchor Brewing,http://beerme.com/brewery.php?89,San Francisco,California
Anchorage Brewing,http://beerme.com/brewery.php?11774,Anchorage,Alaska
Ancient Lakes Brewing,http://beerme.com/brewery.php?11278,Quincy,Washington
Anderson Valley Brewing,http://beerme.com/brewery.php?93,Boonville,California
Andrew's Brewing LLC,http://beerme.com/brewery.php?96,Lincolnville,Maine
Angel City Brewing,http://beerme.com/brewery.php?97,Los Angeles,California
Angeles Brewing,http://beerme.com/brewery.php?98,Chatsworth,California
Angelic Brewing,http://beerme.com/brewery.php?99,Madison,Wisconsin
Angry Cedar Brewing,http://beerme.com/brewery.php?11229,Waverly,Iowa
Angry Hank's,http://beerme.com/brewery.php?10456,Billings,Montana
Angry Minnow Brewpub,http://beerme.com/brewery.php?9441,Hayward,Wisconsin
Anheuser-Busch,http://beerme.com/brewery.php?111,Tampa,Florida
Anheuser-Busch InBev,http://beerme.com/brewery.php?103,Fairfield,California
Anheuser-Busch InBev,http://beerme.com/brewery.php?107,Los Angeles,California
Anheuser-Busch InBev,http://beerme.com/brewery.php?9538,Van Nuys,California
Anheuser-Busch InBev,http://beerme.com/brewery.php?104,Fort Collins,Colorado
Anheuser-Busch InBev,http://beerme.com/brewery.php?106,Jacksonville,Florida
Anheuser-Busch InBev,http://beerme.com/brewery.php?101,Cartersville,Georgia
Anheuser-Busch InBev,http://beerme.com/brewery.php?110,Saint Louis,Missouri
